AI Model,Use Case,Logic ,Reasoning ,Coding ,Maths,Creativity,Memory ,Speed ,Accuracy ,Comprehension ,Multimodal 
GPT-4,Summarization,9,7,5,6,10,5,5,7,10,9
GPT-4,Translation,8,10,5,5,6,7,6,8,7,8
GPT-4,Code Generation,7,6,10,10,9,9,10,8,7,9
GPT-4,Math Problem Solving,6,7,6,5,5,8,9,6,6,9
GPT-4,Text Completion,8,9,6,8,5,8,7,5,6,9
GPT-4,Question Answering,8,9,5,5,9,8,8,6,10,9
GPT-4,Data Analysis,5,6,6,7,8,5,8,5,7,8
GPT-4,Chatbot Support,10,6,5,7,5,6,8,5,8,5
GPT-4,Email Writing,10,5,10,7,8,6,6,7,6,10
GPT-4,Story Writing,6,5,8,10,8,10,6,8,5,10
GPT-4,Image Captioning,9,5,8,6,6,9,7,7,5,10
GPT-4,Speech Recognition,8,10,10,7,6,8,10,6,8,7
GPT-4,Sentiment Analysis,9,6,10,7,8,6,8,6,7,7
GPT-4,Legal Document Review,6,6,5,9,7,9,6,5,10,5
GPT-4,Medical Diagnosis Support,8,10,10,8,5,9,6,5,8,6
GPT-4,Resume Screening,5,5,7,7,6,7,9,8,10,10
GPT-4,Financial Forecasting,9,6,6,9,5,5,5,8,9,9
GPT-4,Recommendation System,8,7,8,6,6,7,6,5,10,6
GPT-4,Game Playing,9,8,6,10,8,5,6,7,9,8
GPT-4,Scientific Research Assistance,8,10,6,8,7,7,6,8,9,6
Claude 3,Summarization,9,9,6,8,10,8,6,5,9,8
Claude 3,Translation,6,5,6,5,9,5,5,6,9,8
Claude 3,Code Generation,9,9,6,9,9,8,8,10,5,6
Claude 3,Math Problem Solving,8,9,5,10,9,10,10,10,8,6
Claude 3,Text Completion,9,7,7,8,5,6,6,8,8,8
Claude 3,Question Answering,5,5,7,5,7,9,10,6,5,6
Claude 3,Data Analysis,7,7,5,6,5,5,7,5,9,8
Claude 3,Chatbot Support,6,10,9,7,8,10,8,9,10,7
Claude 3,Email Writing,5,10,7,8,8,9,6,9,8,10
Claude 3,Story Writing,5,6,5,9,7,7,6,9,10,10
Claude 3,Image Captioning,8,10,9,6,7,6,8,10,5,5
Claude 3,Speech Recognition,6,6,9,10,5,6,5,9,8,7
Claude 3,Sentiment Analysis,7,9,9,10,5,8,7,5,7,7
Claude 3,Legal Document Review,9,6,8,6,8,8,7,5,10,6
Claude 3,Medical Diagnosis Support,6,10,10,10,10,6,9,5,9,9
Claude 3,Resume Screening,8,5,5,10,8,5,8,10,10,8
Claude 3,Financial Forecasting,6,10,5,9,6,6,10,5,7,10
Claude 3,Recommendation System,9,8,9,7,9,9,6,6,5,9
Claude 3,Game Playing,7,8,8,6,5,7,10,7,10,8
Claude 3,Scientific Research Assistance,7,8,8,6,10,6,10,9,8,9
Gemini 1.5,Summarization,9,6,6,10,9,6,10,7,7,7
Gemini 1.5,Translation,6,5,5,6,10,8,8,10,8,7
Gemini 1.5,Code Generation,8,10,9,6,10,8,9,6,5,10
Gemini 1.5,Math Problem Solving,10,10,10,10,9,5,5,7,9,6
Gemini 1.5,Text Completion,8,6,5,10,9,5,9,9,9,9
